Table	Column	Datatype	Offset	Length	Description
AP4_Vend	VEND_LOOKUP	CHAR	145	10	Lookup Sequence
AP4_Vend	VEND_CONT_PERSON	CHAR	155	20	Contact Person
AP4_Vend	VEND_GREETING	CHAR	175	20	Greeting
AP4_Vend	VEND_PHONE	CHAR	195	14	Phone Number
AP4_Vend	INTERCOMPANY_GL_ACCT	CHAR	209	12	Intercompany G/L Account
AP4_Vend	FILE_OUTPUT_FORMAT	CHAR	221	2	File output format
AP4_Vend	SPC	CHAR	223	8	
AP4_Vend	PRINT_PO	CHAR	231	1	
AP4_Vend	CARTON_LABELS	CHAR	232	1	
AP4_Vend	DIRECT_SHIP	CHAR	233	1	
AP4_Vend	SHIP_TO_WHSE	CHAR	234	1	
AP4_Vend	COMM_SUB_CODE	CHAR	235	1	
AP4_Vend	VEND_RATING	CHAR	236	6	Vendor rating-format xxx.xx-max 100.00
AP4_Vend	VEND_MWDB	CHAR	242	1	Vendor minority/woman/disabled?
AP4_Vend	VEND_GREEN	CHAR	243	1	Vendor green?
AP4_Vend	AP4_UNUSED_1	CHAR	244	2	Unused
AP4_Vend	VEND_STAT	CHAR	246	1	"Vendor Status (Inactive, Active)"
AP4_Vend	VEND_CATEGORY	CHAR	247	9	Vendor Category
AP4_Vend	STND_INV_COMMENT	CHAR	256	15	Std comment field for invoices
AP4_Vend	GL_ACCT	CHAR	271	12	Std G/L account
AP4_Vend	BANK_CODE	CHAR	283	3	Std bank code
AP4_Vend	TERMS_CODE	CHAR	286	2	Std terms code
AP4_Vend	PYMNT_SELECTION_CODE	CHAR	288	2	Std payment selection code
AP4_Vend	PYMNT_PRIORITY_CODE	CHAR	290	1	Payment Priority code
AP4_Vend	VEND_ON_HOLD	CHAR	291	1	Vendor on hold?
AP4_Vend	SUBCONTRACTOR	CHAR	292	1	Subcontractor?
AP4_Vend	ALWAYS_TAKE_DISC	CHAR	293	1	Always take past due discount
AP4_Vend	EXC_SPCL_AMT_IN_DISC	CHAR	294	6	Exclude special amounts from disc calc
AP4_Vend	MAILING_LABEL_TYPE_1	CHAR	300	3	Mailing Label Types #1
AP4_Vend	MAILING_LABEL_TYPE_2	CHAR	303	3	Mailing Label Types #2
AP4_Vend	MAILING_LABEL_TYPE_3	CHAR	306	3	Mailing Label Types #3
AP4_Vend	OUR_ACCT_NUM	CHAR	309	15	Our account number (with vendor)
AP4_Vend	WEB_ADDRESS	CHAR	324	40	Web address
AP4_Vend	DEF_DAYS	CHAR	364	3	
AP4_Vend	JOB_CARD_OVERRIDE	CHAR	367	15	Electronic Forms Purchase Order Job Card Override
AP4_Vend	OPTIONS	CHAR	382	20	Options
AP4_Vend	CUST_PO_TP	CHAR	402	1	
AP4_Vend	CONT_LIST_CODE	CHAR	403	4	
AP4_Vend	CONT_CONT_CODE	CHAR	407	6	
AP4_Vend	EC_PRINT_FLAGS	CHAR	413	5	EC Order Print Flags
AP4_Vend	EC_WHSE_CODE	CHAR	418	4	EC Warehouse Code
AP4_Vend	XML_ITEM_SPECS	CHAR	422	1	Item Specs Enabled in Vendor XML
AP4_Vend	XML_SPECIAL_SHIP	CHAR	423	1	Special Shipping Enabled in Vendor XML
AP4_Vend	VEND_COUNTRY	CHAR	424	2	
AP4_Vend	AP4_UNUSED_2	CHAR	426	1	Unused
AP4_Vend	STND_AMT	NUMBER		14.3	Standard Amount
AP4_Vend	EXTRA_DUE_DAYS	NUMBER		14.3	Number of Extra Days until Due
Keys :					
"Primary Key: VEND_DIV, VEND_CODE"					
"Alternate Key 1: VEND_PHONE, VEND_DIV, VEND_CODE"					
"Alternate Key 2: VEND_LOOKUP, VEND_DIV, VEND_CODE"					
"Alternate Key 3: VEND_CATEGORY, VEND_DIV, VEND_CODE"					
"Alternate Key 4: VEND_ZIP, VEND_DIV, VEND_CODE"					
					
Table : AP5_VendStatus					
AP5_VendStatus	VEND_DIV	CHAR	1	2	Vendor Code
AP5_VendStatus	VEND_CODE	CHAR	3	8	
AP5_VendStatus	LAST_INV_DATE	DATE	11	6	Last invoice date
AP5_VendStatus	LAST_CHECK_DATE	DATE	17	6	Last check date
AP5_VendStatus	ID_1099	CHAR	23	14	1099 ID number
AP5_VendStatus	TYPE_1099	CHAR	37	1	1099 type code
AP5_VendStatus	AP5_UNUSED_1	CHAR	38	1	
AP5_VendStatus	CURR_BAL	NUMBER		14.3	Current balance due vendor
AP5_VendStatus	RETAINAGE_DUE_VEND	NUMBER		14.3	Retainage due vendor
AP5_VendStatus	PYMNT_CURR_1099_YR	NUMBER		14.3	Payments - current 1099 year
AP5_VendStatus	CHK_CNT_CURR_1099_YR	NUMBER		14.3	Num. of checks - current 1099 year
AP5_VendStatus	PYMNT_NEXT_1099_YR	NUMBER		14.3	Payments - next 1099 year
AP5_VendStatus	CHK_CNT_NEXT_1099_YR	NUMBER		14.3	Num. of checks - next 1099 year
Keys :					
"Primary Key: VEND_DIV, VEND_CODE"					
					
Table : AP8_VendMsg					
AP8_VendMsg	VEND_DIV	CHAR	1	2	Vendor code
AP8_VendMsg	VEND_CODE	CHAR	3	8	
AP8_VendMsg	VEND_INV_MESS_1	CHAR	11	60	Invoice entry message line 1
AP8_VendMsg	VEND_INV_MESS_2	CHAR	71	60	Invoice entry message line 2
AP8_VendMsg	VEND_MAN_CHK_MESS_1	CHAR	131	60	Manual check entry message line 1
AP8_VendMsg	VEND_MAN_CHK_MESS_2	CHAR	191	60	Manual check entry message line 2
AP8_VendMsg	VEND_OE_MESS_1	CHAR	251	60	Order Entry Message Line 1
AP8_VendMsg	VEND_OE_MESS_2	CHAR	311	60	Order Entry Message Line 2
AP8_VendMsg	VEND_INQ_MESS_1	CHAR	371	60	Vendor Setup/Inquriy Message Line 1
AP8_VendMsg	VEND_INQ_MESS_2	CHAR	431	60	Vendor Setup/Inquiry Message Line 2
Keys :					
"Primary Key: VEND_DIV, VEND_CODE"					
					
Table : AP9_VendStats					
AP9_VendStats	VEND_DIV	CHAR	1	2	Vendor code
AP9_VendStats	VEND_CODE	CHAR	3	8	
AP9_VendStats	FY	CHAR	11	4	Fiscal year
AP9_VendStats	STAT_CODE	CHAR	15	1	"Balance type (P,A,I,sp1-4)"
AP9_VendStats	OPEN_BAL	NUMBER		14.3	Opening balance
AP9_VendStats	ACCTPD_BAL_1	NUMBER		14.3	Period 1 Balance
AP9_VendStats	ACCTPD_BAL_2	NUMBER		14.3	Period 2 Balance
AP9_VendStats	ACCTPD_BAL_3	NUMBER		14.3	Period 3 Balance
AP9_VendStats	ACCTPD_BAL_4	NUMBER		14.3	Period 4 Balance
AP9_VendStats	ACCTPD_BAL_5	NUMBER		14.3	Period 5 Balance
AP9_VendStats	ACCTPD_BAL_6	NUMBER		14.3	Period 6 Balance
AP9_VendStats	ACCTPD_BAL_7	NUMBER		14.3	Period 7 Balance
AP9_VendStats	ACCTPD_BAL_8	NUMBER		14.3	Period 8 Balance
AP9_VendStats	ACCTPD_BAL_9	NUMBER		14.3	Period 9 Balance
AP9_VendStats	ACCTPD_BAL_10	NUMBER		14.3	Period 10 Balance
AP9_VendStats	ACCTPD_BAL_11	NUMBER		14.3	Period 11 Balance
AP9_VendStats	ACCTPD_BAL_12	NUMBER		14.3	Period 12 Balance
AP9_VendStats	ACCTPD_BAL_13	NUMBER		14.3	Period 13 Balance
Keys :					
"Primary Key: VEND_DIV, VEND_CODE, FY, STAT_CODE"					
					
Table : APA_InvoiceEntManChk					
APA_InvoiceEntManChk	F_Y	CHAR	1	4	Fiscal Year
APA_InvoiceEntManChk	ACCNT_PD	CHAR	5	2	Accounting Period
APA_InvoiceEntManChk	VEND_DIV	CHAR	7	2	A/P Vendor Code
APA_InvoiceEntManChk	VEND_CODE	CHAR	9	8	
APA_InvoiceEntManChk	INV_NUM	CHAR	17	10	Invoice Number
APA_InvoiceEntManChk	INV_DATE	DATE	27	6	Invoice Date
APA_InvoiceEntManChk	TERM_CODE	CHAR	33	2	Terms Code
APA_InvoiceEntManChk	INV_DUE_DATE	DATE	35	6	Invoice Due Date
APA_InvoiceEntManChk	DISC_EXP_ON	DATE	41	6	Discount Expires on
APA_InvoiceEntManChk	INV_COMMENT	CHAR	47	15	Invoice Comment
APA_InvoiceEntManChk	OUR_REF_NUM	CHAR	62	10	Our Reference Number
APA_InvoiceEntManChk	PRINT_CHCK_BANK_CODE	CHAR	72	3	Print Check on Bank Code
APA_InvoiceEntManChk	GL_CATG_CODE	CHAR	75	9	G/L Category Code
APA_InvoiceEntManChk	PAYMT_SEL_CODE	CHAR	84	2	Payment Selection Code
APA_InvoiceEntManChk	PAYMT_PRI_CODE	CHAR	86	1	Payment Priority Code
APA_InvoiceEntManChk	PLACE_INV_ON_HOLD	CHAR	87	1	Place Invoice on hold?
APA_InvoiceEntManChk	SPECIAL_INV_TYPE	CHAR	88	1	"Special Invoice Type (Sub, PO)"
APA_InvoiceEntManChk	INVOICE_TYPE	CHAR	89	1	"Invoice Type (A=Adj, R=Ret)"
APA_InvoiceEntManChk	APPLY_TO_INV_NUM	CHAR	90	10	Apply to invoice number
APA_InvoiceEntManChk	SLS_CODE	CHAR	100	4	Salesperson code (parameterized)
APA_InvoiceEntManChk	SOURCE_COMPANY	CHAR	104	3	Source company code
APA_InvoiceEntManChk	REMOTE_TYPE	CHAR	107	1	Source company code remote location type
APA_InvoiceEntManChk	ALT_CURRENCY	CHAR	108	3	Alternate currency code
APA_InvoiceEntManChk	DISC_EXPIRES_2ND	DATE	111	6	2nd discount expires on
APA_InvoiceEntManChk	APA_UNUSED_1	CHAR	117	30	Unused
APA_InvoiceEntManChk	LINK_TO_DET_FILE	NUMBER		14.3	Link into Detail file APU
APA_InvoiceEntManChk	GROSS_INV_AMT	NUMBER		14.3	Gross Invoice Amount
APA_InvoiceEntManChk	SPEC_AMT_1	NUMBER		14.3	Special Amount 1
APA_InvoiceEntManChk	SPEC_AMT_2	NUMBER		14.3	Special Amount 2
APA_InvoiceEntManChk	SPEC_AMT_3	NUMBER		14.3	Special Amount 3
APA_InvoiceEntManChk	SPEC_AMT_4	NUMBER		14.3	Special Amount 4
APA_InvoiceEntManChk	DISC_APPLIES_TO	NUMBER		14.3	Discount Applies to
APA_InvoiceEntManChk	DISC_AMT	NUMBER		14.3	Discount Amount
APA_InvoiceEntManChk	WORKMAN_COMP_WH	NUMBER		14.3	Workman's Comp W/H
APA_InvoiceEntManChk	NET_INV_AMT	NUMBER		14.3	Net Invoice Amount
APA_InvoiceEntManChk	DAYS_TO_EXT_DUE_DATE	NUMBER		14.3	Days to Extend Due Date
APA_InvoiceEntManChk	USED_INV_ENTRY	NUMBER		14.3	Used during Invoice Entry
APA_InvoiceEntManChk	AMT_ALT_CURRENCY	NUMBER		14.3	Gross amount in alternate currency
APA_InvoiceEntManChk	DISC_ALT_CURR	NUMBER		14.3	Discount amount in alternate currency
APA_InvoiceEntManChk	DISC_AMT_2ND	NUMBER		14.3	2nd Discount Amount
Keys :					
"Primary Key: F_Y, ACCNT_PD, VEND_DIV, VEND_CODE, INV_NUM"					
					
Table : APB_VendUserDef					
APB_VendUserDef	VEND_DIV	CHAR	1	2	Vendor code
APB_VendUserDef	VEND_CODE	CHAR	3	8	
APB_VendUserDef	FIELD_NUM	CHAR	11	4	Field number
APB_VendUserDef	FIELD_DATA	CHAR	15	75	Field data (variable length)
APB_VendUserDef	APB_UNUSED_1	CHAR	90	36	Unused
Keys :					
"Primary Key: VEND_DIV, VEND_CODE, FIELD_NUM"					
"Alternate Key 1: FIELD_NUM, VEND_DIV, VEND_CODE"					
					
Table : APC_ChkReg					
APC_ChkReg	SRC_COMP_CODE	CHAR	1	3	Source company
APC_ChkReg	BANK_CODE	CHAR	4	3	Bank code
APC_ChkReg	VEND_DIV	CHAR	7	2	Vendor code
APC_ChkReg	VEND_CODE	CHAR	9	8	
APC_ChkReg	CHECK_CODE	CHAR	17	1	Check code
APC_ChkReg	CHECK_NUM	CHAR	18	6	Check number
APC_ChkReg	CHECK_DATE	DATE	24	6	Check date
APC_ChkReg	REF_NUM	CHAR	30	9	
APC_ChkReg	APC_UNUSED_1	CHAR	39	20	
APC_ChkReg	GROSS_AMT	NUMBER		14.3	Gross amount
APC_ChkReg	DISC_TAKEN	NUMBER		14.3	Discount taken
APC_ChkReg	NET_SALE	NUMBER		14.3	Net check amount
Keys :					
"Primary Key: SRC_COMP_CODE, BANK_CODE, VEND_DIV, VEND_CODE, CHECK_CODE"					
					
Table : APD_InvoiceEntHdr					
APD_InvoiceEntHdr	FY	CHAR	1	4	Fiscal Year
APD_InvoiceEntHdr	ACCTPD	CHAR	5	2	Accounting Period
APD_InvoiceEntHdr	VEND_DIV	CHAR	7	2	A/P Vendor Code
APD_InvoiceEntHdr	VEND_CODE	CHAR	9	8	
APD_InvoiceEntHdr	INV_NUM	CHAR	17	10	Invoice Number
APD_InvoiceEntHdr	INV_DATE	DATE	27	6	Invoice Date
APD_InvoiceEntHdr	TERMS_CODE	CHAR	33	2	Terms Code
APD_InvoiceEntHdr	INV_DUE_DATE	DATE	35	6	Invoice Due Date
APD_InvoiceEntHdr	DISC_EXPIRE_DATE	DATE	41	6	Discount Expires on
APD_InvoiceEntHdr	INV_COMMENT	CHAR	47	15	Invoice Comment
APD_InvoiceEntHdr	OUR_REF_NUM	CHAR	62	10	Our Reference Number
APD_InvoiceEntHdr	PRNT_CHK_ON_BANK	CHAR	72	3	Print Check on Bank Code
APD_InvoiceEntHdr	CATEGORY	CHAR	75	9	G/L Category Code
APD_InvoiceEntHdr	PYMNT_SELECTION_CODE	CHAR	84	2	Payment Selection Code
APD_InvoiceEntHdr	PYMNT_PRIORITY_CODE	CHAR	86	1	Payment Priority Code
APD_InvoiceEntHdr	INV_ON_HOLD	CHAR	87	1	Place Invoice on hold?
APD_InvoiceEntHdr	SPECIAL_INV_TYPE	CHAR	88	1	"Special Invoice Type (Sub, PO)"
APD_InvoiceEntHdr	INV_TYPE	CHAR	89	1	"Invoice Type (A=Adj, R=Ret)"
APD_InvoiceEntHdr	APPLY_TO_INV_NUM	CHAR	90	10	Apply to invoice number
APD_InvoiceEntHdr	SPER_CODE	CHAR	100	4	Salesperson code (parameterized)
APD_InvoiceEntHdr	SRC_COMP_CODE	CHAR	104	3	Source company code
APD_InvoiceEntHdr	SRC_COMP_LOC_TYPE	CHAR	107	1	Source company code remote location type
APD_InvoiceEntHdr	ALT_CURR_CODE	CHAR	108	3	Alternate Currency Code
APD_InvoiceEntHdr	DISC_DATE_2ND	CHAR	111	6	Link to 1st APE indexed record
APD_InvoiceEntHdr	APD_UNUSED_1	CHAR	117	30	Link to 1st APE indexed record
APD_InvoiceEntHdr	APE_LINK	NUMBER		14.3	Link to 1st APE indexed record
APD_InvoiceEntHdr	GROSS_INV_AMT	NUMBER		14.3	Gross Invoice Amount
APD_InvoiceEntHdr	SPECIAL_AMT_1	NUMBER		14.3	Specail Amount 1
APD_InvoiceEntHdr	SPECIAL_AMT_2	NUMBER		14.3	Special Amount 2
APD_InvoiceEntHdr	SPECIAL_AMT_3	NUMBER		14.3	Special Amount 3
APD_InvoiceEntHdr	SPECIAL_AMT_4	NUMBER		14.3	Special Amount 4
APD_InvoiceEntHdr	DISC_APPLIES_TO	NUMBER		14.3	Discount Applies to
APD_InvoiceEntHdr	DISC_AMT	NUMBER		14.3	Discount Amount
APD_InvoiceEntHdr	WORKMAN_COMP_WH	NUMBER		14.3	Workman's Comp W/H
APD_InvoiceEntHdr	NET_SALE	NUMBER		14.3	Net Invoice Amount
APD_InvoiceEntHdr	DAYS_TO_EXTEND_DUE	NUMBER		14.3	Days to extend due date
APD_InvoiceEntHdr	INTERAL_USE	NUMBER		14.3	Used during Invoice Entry
APD_InvoiceEntHdr	ALT_CURR_GROSS_AMT	NUMBER		14.3	Gross Amount in Alternate Currency
APD_InvoiceEntHdr	ALT_CURR_DISC_AMT	NUMBER		14.3	Discount Amount in Alternate Currency
APD_InvoiceEntHdr	DISC_AMT_2ND	NUMBER		14.3	2nd Discount Amount
Keys :					
"Primary Key: FY, ACCTPD, VEND_DIV, VEND_CODE, INV_NUM"					
					
Table : APG_PaymentSel					
APG_PaymentSel	VEND_DIV	CHAR	1	2	Vendor Code
APG_PaymentSel	VEND_CODE	CHAR	3	8	
APG_PaymentSel	INV_NUM	CHAR	11	10	Invoice number
APG_PaymentSel	CHECK_CODE	CHAR	21	1	Check code
APG_PaymentSel	BANK_CODE	CHAR	22	3	Bank account
APG_PaymentSel	ALT_CURR_CODE	CHAR	25	3	Alternate currency code
APG_PaymentSel	USING_2ND_DISC	CHAR	28	1	Using 2nd discount date/amount?
APG_PaymentSel	APG_UNUSED_1	CHAR	29	35	Unused
APG_PaymentSel	GROSS_AMT	NUMBER		14.3	Gross amount to pay
APG_PaymentSel	DISC_AMT	NUMBER		14.3	Discount amount
APG_PaymentSel	ALT_CURR_GROSS_AMT	NUMBER		14.3	Gross Amount in Alternate Currency
APG_PaymentSel	ALT_CURR_DISC_AMT	NUMBER		14.3	Disocunt Amount in Alternate Currency
APG_PaymentSel	APG_UNUSED_2	NUMBER		14.3	Unused
APG_PaymentSel	APG_UNUSED_3	NUMBER		14.3	Unused
Keys :					
"Primary Key: VEND_DIV, VEND_CODE, INV_NUM"					
					
Table : APH_ChkPrn					
APH_ChkPrn	SRC_COMP_CODE	CHAR	1	3	Source company code
APH_ChkPrn	BANK_CODE	CHAR	4	3	Bank account code
APH_ChkPrn	VEND_DIV	CHAR	7	2	Vendor code
APH_ChkPrn	VEND_CODE	CHAR	9	8	
APH_ChkPrn	SPECIAL_CHECK_CODE	CHAR	17	1	Special check code
APH_ChkPrn	INV_NUM	CHAR	18	10	Invoice number
APH_ChkPrn	CHECK_NUM	CHAR	28	6	Check number
APH_ChkPrn	ALT_C_C	CHAR	34	3	
APH_ChkPrn	CHECK_DATE	CHAR	37	6	
APH_ChkPrn	GROSS_INV_PYMNT	NUMBER		14.3	Gross Invoice Payment
APH_ChkPrn	DISC_TAKEN	NUMBER		14.3	Discount Taken
APH_ChkPrn	GROSS_INV_PYMNT_ALTC	NUMBER		14.3	Gross Invoice Payment in Alternate Currency
APH_ChkPrn	DISC_TAKEN_IN_ALTC	NUMBER		14.3	Discount Taken in Alternate Currency
APH_ChkPrn	APH_UNUSED_2	NUMBER		14.3	Unused
APH_ChkPrn	APH_UNUSED_3	NUMBER		14.3	Unused
Keys :					
"Primary Key: SRC_COMP_CODE, BANK_CODE, VEND_DIV, VEND_CODE, SPECIAL_CHECK_CODE, INV_NUM"					
					
Table : API_OpenInvoice					
API_OpenInvoice	VEND_DIV	CHAR	1	2	Vendor Code
API_OpenInvoice	VEND_CODE	CHAR	3	8	
API_OpenInvoice	INV_NUM	CHAR	11	10	Invoice
API_OpenInvoice	INV_DATE	DATE	21	6	Invoice Date
API_OpenInvoice	TERMS_CODE	CHAR	27	2	Terms Code
API_OpenInvoice	INV_DUE_DATE	DATE	29	6	Invoice Due Date
API_OpenInvoice	DISC_EXPIRE_DATE	DATE	35	6	Discount Expires
API_OpenInvoice	INV_COMMENT	CHAR	41	15	Invoice Comment
API_OpenInvoice	OUR_REF_NUM	CHAR	56	10	Our Reference No
API_OpenInvoice	PRINT_ON_BANK_CODE	CHAR	66	3	Print on Bank
API_OpenInvoice	CATEGORY	CHAR	69	9	Category Code
API_OpenInvoice	PYMNT_SELECTION	CHAR	78	2	Pmt Selection
API_OpenInvoice	PYMNT_PRIORITY_CODE	CHAR	80	1	Pmy Priority
API_OpenInvoice	INV_ON_HOLD	CHAR	81	1	Invoice on Hold?
API_OpenInvoice	INV_SPECIAL_CODE	CHAR	82	1	Inv Special Code
API_OpenInvoice	INV_TYPE	CHAR	83	1	Invoice Type
API_OpenInvoice	APPLY_TO_INV_NUM	CHAR	84	10	Applies to Invoice number
API_OpenInvoice	ORIG_UPDT_IN_FYAP	CHAR	94	6	Originally updated in FY/Period
API_OpenInvoice	GREATEST_FY	CHAR	100	4	Highest Period/Year updated to
API_OpenInvoice	GREATEST_ACCTPD	CHAR	104	2	
API_OpenInvoice	AUDIT_NUM	CHAR	106	6	Audit control number
API_OpenInvoice	API_UNUSED_1	CHAR	112	2	Unknown
API_OpenInvoice	SPER_CODE	CHAR	114	4	Salesperson code
API_OpenInvoice	ORIG_COMP_CODE	CHAR	118	3	Original company code
API_OpenInvoice	SRC_LOC_TYPE	CHAR	121	1	Source location type (1=RL)
API_OpenInvoice	ALT_CURR_CODE	CHAR	122	3	Alternate Currency Code
API_OpenInvoice	DISC_EXPIRES_2ND	DATE	125	6	2nd discount expires on
API_OpenInvoice	API_UNUSED_8	CHAR	131	30	Unused
API_OpenInvoice	TRANS_DETAIL_LINK	NUMBER		14.3	Index to transaction #1
API_OpenInvoice	GL_DETAIL_LINK	NUMBER		14.3	Index to G/L Distribution
API_OpenInvoice	TOTAL_BOOKED_TO_AP	NUMBER		14.3	Total booked to A/P
API_OpenInvoice	SPECIAL_INV_AMT_1	NUMBER		14.3	Special Invoice Amount 1
API_OpenInvoice	SPECIAL_INV_AMT_2	NUMBER		14.3	Special Invoice Amount 2
API_OpenInvoice	SPECIAL_INV_AMT_3	NUMBER		14.3	Special Invoice Amount 3
API_OpenInvoice	SPECIAL_INV_AMT_4	NUMBER		14.3	Special Invoice Amount 4
API_OpenInvoice	ORIG_DISC_AVAIL	NUMBER		14.3	Original Discount Available
API_OpenInvoice	WC_INS_WH	NUMBER		14.3	Worker's Comp Ins. W/H
API_OpenInvoice	EXTEND_DUE_DT	NUMBER		14.3	Extend Due Date
API_OpenInvoice	ORIG_INV_AMT	NUMBER		14.3	Original Invoice Amount
API_OpenInvoice	DISC_TAKEN_TO_DT	NUMBER		14.3	Discounts Taken to Date
API_OpenInvoice	PYMNTS_APPLIED_TO_DT	NUMBER		14.3	Payments Applied to Date
API_OpenInvoice	BAL_DUE_ON_INVOICE	NUMBER		14.3	Balance due on this Invoice
API_OpenInvoice	POSTED_TO_DT_SPEC_1	NUMBER		14.3	Posted to date - Special Amount 1
API_OpenInvoice	POSTED_TO_DT_SPEC_2	NUMBER		14.3	Posted to date - Special Amount 2
API_OpenInvoice	POSTED_TO_DT_SPEC_3	NUMBER		14.3	Posted to date - Special Amount 3
API_OpenInvoice	POSTED_TO_DT_SPEC_4	NUMBER		14.3	Posted to date - Special Amount 4
API_OpenInvoice	GROSS_AMT_ALT_CURR	NUMBER		14.3	Gross Amount in Alternare Currency
API_OpenInvoice	DISC_AMT_ALT_CURR	NUMBER		14.3	Discount Amount in Alternate Currency
API_OpenInvoice	ALT_GROSS_AMT_ALT_C	NUMBER		14.3	Alternate Gross Amount paid to date
API_OpenInvoice	ALT_DISC_AMT_PTD	NUMBER		14.3	Alternate Discount Amount paid to date
API_OpenInvoice	DISC_AVAIL_2ND	NUMBER		14.3	Original Discount Available 2
API_OpenInvoice	API_UNUSED_2	NUMBER		14.3	Unused
API_OpenInvoice	API_UNUSED_3	NUMBER		14.3	Unused
API_OpenInvoice	API_UNUSED_4	NUMBER		14.3	Unused
API_OpenInvoice	API_UNUSED_5	NUMBER		14.3	Unused
API_OpenInvoice	API_UNUSED_6	NUMBER		14.3	Unused
API_OpenInvoice	API_UNUSED_7	NUMBER		14.3	Unused
Keys :					
"Primary Key: VEND_DIV, VEND_CODE, INV_NUM"					
"Alternate Key 1: PRINT_ON_BANK_CODE, VEND_DIV, VEND_CODE, INV_NUM"					
					
Table : APJ_InvoiceTrans					
APJ_InvoiceTrans	VEND_DIV	CHAR	1	2	
APJ_InvoiceTrans	VEND_CODE	CHAR	3	8	
APJ_InvoiceTrans	INV_NUM	CHAR	11	10	
APJ_InvoiceTrans	TF_REF	CHAR	21	15	
APJ_InvoiceTrans	TRANS_TYPE	CHAR	36	1	
APJ_InvoiceTrans	FY	CHAR	37	4	
APJ_InvoiceTrans	ACCTPD	CHAR	41	2	
APJ_InvoiceTrans	AUDIT_NUM	CHAR	43	6	
APJ_InvoiceTrans	TRANS_DATE	DATE	49	6	
APJ_InvoiceTrans	SEQ_NO	CHAR	55	3	
APJ_InvoiceTrans	REC_STATUS	CHAR	58	1	
APJ_InvoiceTrans	CLEAR_FY	CHAR	59	4	
APJ_InvoiceTrans	CLEAR_ACCTPD	CHAR	63	2	
APJ_InvoiceTrans	APJ_UNUSED_1	CHAR	65	16	
APJ_InvoiceTrans	TRANS_AMT	NUMBER		14.3	
Keys :					
"Primary Key: VEND_DIV, VEND_CODE, INV_NUM, TRANS_TYPE, TRANS_DATE, SEQ_NO"					
					
Table : APL_InvoiceEntLns					
APL_InvoiceEntLns	FY	CHAR	1	4	Fiscal Year
APL_InvoiceEntLns	ACCTPD	CHAR	5	2	Accounting Period
APL_InvoiceEntLns	VEND_DIV	CHAR	7	2	A/P Vendor Division
APL_InvoiceEntLns	VEND_CODE	CHAR	9	8	A/P Vendor Code
APL_InvoiceEntLns	INV_NUM	CHAR	17	10	Invoice Number
APL_InvoiceEntLns	LINE_NUM	CHAR	27	3	Line Number
APL_InvoiceEntLns	TRANS_DATE	DATE	30	6	Transaction Date
APL_InvoiceEntLns	GL_ACCT	CHAR	36	12	G/L Account Number
APL_InvoiceEntLns	JOB_NUM	CHAR	48	9	Job Number
APL_InvoiceEntLns	JC_COST_CODE	CHAR	57	9	J/C Cost Code
APL_InvoiceEntLns	COST_CODE_TYPE	CHAR	66	1	Cost Code Type
APL_InvoiceEntLns	TF_MEMO	CHAR	67	45	Memo Field
